network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Merged Arabidopsis,ME001,ABA,HORMONE,ABI4_5,PROTEIN_COMPLEX,1,activation,ABA induces ABI5 bZIP TF via PYL/PP2C/SnRK2 core module [Edge represents composite family; evidence drawn from curated E247 (ABA->ABI5).],1,10.3389/fpls.2016.01884
Merged Arabidopsis,ME002,ABA,HORMONE,ABI5,GENE,1,activation,ABA activates ABI5 bZIP transcription factor,1,10.1105/tpc.113.121566
Merged Arabidopsis,ME003,ABA,HORMONE,DELLA,PROTEIN_COMPLEX,1,activation,ABA stabilizes DELLA proteins and promotes DELLA-mediated repression.,1,10.1093/aobpla/ply061
Merged Arabidopsis,ME004,ABA,HORMONE,GA20OX1,GENE,-1,inhibition,ABA represses GA20ox1 expression.,2,10.1093/aobpla/ply061; 10.3390/ijms22158394
Merged Arabidopsis,ME005,ABA,HORMONE,GA2OX1,GENE,1,activation,"ABA induces GA2ox1 expression, accelerating GA inactivation.",1,10.1093/aobpla/ply061
Merged Arabidopsis,ME006,ABA,HORMONE,GA3OX1,GENE,-1,inhibition,"ABA represses GA3ox1 expression, reducing bioactive GA4.",1,10.1093/aobpla/ply061
Merged Arabidopsis,ME007,ABA,HORMONE,PYL,GENE,1,activation,"ABA binds PYR/PYL/RCAR receptors, inducing conformational change that enables PP2C inhibition",1,10.3390/ijms23094523
Merged Arabidopsis,ME008,ABA,HORMONE,PYL8,GENE,1,activation,ABA binds PYL8 receptor to activate signaling,1,10.1126/scisignal.2005051
Merged Arabidopsis,ME009,ABA,HORMONE,Seed_Size,PHENOTYPE,-1,inhibition,maternal ABA restricts endosperm proliferation,1,10.1105/tpc.113.121566
Merged Arabidopsis,ME010,ABA,HORMONE,Shoot_Branching,PHENOTYPE,-1,inhibition,ABA feeds back to amplify HB53 expression,1,10.1073/pnas.1613199114
Merged Arabidopsis,ME011,ABA2,GENE,ABA,HORMONE,1,activation,short-chain dehydrogenase in ABA biosynthesis,8,10.1111/tpj.70096; doi; title; authors; year; journal; evidence_sentence; claim
Merged Arabidopsis,ME012,ABI1,GENE,SNRK2,GENE,-1,inhibition,ABI1 PP2C dephosphorylates and inactivates SnRK2 kinases,2,10.1126/scisignal.2005051; 10.3390/ijms23094523
Merged Arabidopsis,ME013,ABI3,GENE,ABI4,GENE,1,activation,ABI3 positively regulates ABI4,1,10.1104/pp.124.4.1752
Merged Arabidopsis,ME014,ABI3,GENE,FUS3,GENE,1,activation,ABI3/FUS3 self-reinforcing feedback loop,1,10.1105/tpc.9.8.1265
Merged Arabidopsis,ME015,ABI3,GENE,Storage_reserves,PROCESS,1,activation,ABI3 master maturation TF activates seed storage protein and lipid biosynthesis genes during seed filling,1,10.1146/annurev-arplant-050213-040104
Merged Arabidopsis,ME016,ABI4,GENE,ABI3,GENE,1,activation,ABI4 activates ABI3 in ABA response,1,10.1104/pp.124.4.1752
Merged Arabidopsis,ME017,ABI4,GENE,ABI5,GENE,1,activation,ABI4 induces ABI5 transcription in ABA response,1,10.1104/pp.124.4.1752
Merged Arabidopsis,ME018,ABI4_5,PROTEIN_COMPLEX,Lateral_Root_Density,PHENOTYPE,-1,inhibition,ABI4 inhibits LR initiation and elongation via PIN1 reduction [Edge represents composite family; evidence drawn from curated E140 (ABI4->Lateral_Root_Density).],1,10.1105/tpc.110.074641
Merged Arabidopsis,ME019,ABI5,GENE,Plant_Height,PHENOTYPE,-1,inhibition,ABI5 activates ABA-responsive growth-inhibitory genes; ABI5 OE reduces plant growth,1,10.3390/ijms22158394
Merged Arabidopsis,ME020,ABI5,GENE,SHB1,GENE,-1,repression,ABI5 binds SHB1 promoter,1,10.1105/tpc.113.121566
Merged Arabidopsis,ME021,ABI5,GENE,Seed_Size,PHENOTYPE,-1,repression,ABI5 represses SHB1 to restrict seed size; abi5 mutants exhibit larger seeds,1,10.1105/tpc.113.121566
Merged Arabidopsis,ME022,ACO,GENE,Ethylene,HORMONE,1,activation,ACO oxidises ACC to ethylene,1,10.1111/j.1365-313X.2008.03495.x
Merged Arabidopsis,ME023,ACS,GENE,Ethylene,HORMONE,1,activation,ACS synthesises ACC from SAM,1,10.1111/j.1365-313X.2008.03495.x
Merged Arabidopsis,ME024,ACS_ACO,GENE,Ethylene,HORMONE,1,activation,"ACS (ACC synthase) converts SAM to ACC, the rate-limiting step of ethylene biosynthesis",1,10.1073/pnas.1214848109
Merged Arabidopsis,ME025,AGB1,GENE,AGG3,GENE,1,activation,Heterotrimeric G-protein assembly: AGB1 (Gβ) and AGG3 (Gγ) form an obligate dimer; cooperative stabilisation. Modelled as AGB1 stabilising AGG3 (curated direction E133 AGG3→AGB1 omitted to avoid mutual positive feedback per Trap 1; cooperative assembly captured by single-direction approximation).,1,10.4161/psb.21620
Merged Arabidopsis,ME026,AGG3,GENE,Cell_Proliferation_Duration,PROCESS,1,activation,G-protein ÃŽÂ³ subunit extends proliferative growth,1,10.4161/psb.21620
Merged Arabidopsis,ME027,AGL24,GENE,LFY,GENE,1,activation,AGL24 (with SOC1) activates LFY transcription; 35S::LFY rescues agl24 late flowering,1,10.1073/pnas.212624599
Merged Arabidopsis,ME028,AHK,PROTEIN_COMPLEX,ARR_B,PROTEIN_COMPLEX,1,activation,AHK phosphorelay via AHPs activates type-B ARR1 TF [Edge represents composite family; evidence drawn from curated E081 (AHK2->ARR1).],1,10.3390/ijms20030486
Merged Arabidopsis,ME029,AHK3,GENE,AHP1,GENE,1,activation,"Activated AHK3 autophosphorylates and transfers phosphate to AHP1, which relays to nucleus",1,10.1199/tab.0168
Merged Arabidopsis,ME030,AHP1,GENE,ARR1,GENE,1,activation,AHP1 phosphotransfer to ARR1 (type-B response regulator) activates its transcriptional activity in nucleus,1,10.1199/tab.0168
Merged Arabidopsis,ME031,AHP6,GENE,Cytokinin,HORMONE,-1,inhibition,pseudo-phosphotransfer protein blocks CK signaling,1,10.1105/tpc.110.079079
Merged Arabidopsis,ME032,AIF2,GENE,IKU1,GENE,-1,repression,bHLH TF represses IKU1,1,10.3390/ijms241310666
Merged Arabidopsis,ME033,AIF2,GENE,MINI3,GENE,-1,repression,bHLH TF represses MINI3,1,10.3390/ijms241310666
Merged Arabidopsis,ME034,AIF2,GENE,SHB1,GENE,-1,repression,bHLH TF represses SHB1 expression,1,10.3390/ijms241310666
Merged Arabidopsis,ME035,ANR1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,ANR1 MADS-box TF positively regulates LR elongation in nitrate patches,1,10.3390/genes11060633
Merged Arabidopsis,ME036,ANT,GENE,Integument_Growth,PROCESS,1,activation,ANT (AINTEGUMENTA) AP2-domain TF drives integument primordium proliferation,1,10.1242/dev.201853
Merged Arabidopsis,ME037,ANT,GENE,Ovule_size,PROCESS,1,activation,promotes ovule primordium cell proliferation,1,10.1105/tpc.161088
Merged Arabidopsis,ME038,AP1,GENE,Flowering_Time,PHENOTYPE,1,activation,AP1 is a floral meristem identity gene promoting flowering,2,10.1371/journal.pgen.1006263; 10.1105/tpc.11.6.1007
Merged Arabidopsis,ME039,AP1,GENE,TFL1,GENE,-1,repression,AP1 directly binds essential cis-regulatory elements in the TFL1 promoter to repress it,1,10.1105/tpc.11.6.1007
Merged Arabidopsis,ME040,AP2,GENE,AP1,GENE,-1,repression,AP2 binds AP1 regulatory regions (ChIP-seq direct targets),1,10.1105/tpc.110.075606
Merged Arabidopsis,ME041,AP2,GENE,Endosperm_Proliferation,PROCESS,-1,repression,"AP2 promotes early endosperm cellularization, limiting nuclear proliferation",1,10.1007/s00497-009-0116-1
Merged Arabidopsis,ME042,AP2,GENE,Integument_Growth,PROCESS,-1,repression,AP2 restricts seed coat epidermal cell elongation,1,10.1007/s00497-009-0116-1
Merged Arabidopsis,ME043,AP2,GENE,SOC1,GENE,-1,repression,AP2 directly binds SOC1 upstream region to repress transcription,1,10.1105/tpc.110.075606
Merged Arabidopsis,ME044,AP2,GENE,miR172,REGULATORY_RNA,-1,repression,AP2 directly represses miR172b transcription (negative feedback loop),1,10.1105/tpc.110.075606
Merged Arabidopsis,ME045,AP2_TOE,PROTEIN_COMPLEX,FT,GENE,-1,inhibition,AP2 represses FT transcription; miR172 promotes flowering by relieving AP2 repression of FT,1,10.1371/journal.pbio.3001043
Merged Arabidopsis,ME046,ARF19,GENE,LBD,PROTEIN_COMPLEX,1,activation,ARF19 binds LBD16 promoter (minor contribution vs ARF7) [Edge represents composite family; evidence drawn from curated E021 (ARF19->LBD16).],1,10.1105/tpc.106.047761
Merged Arabidopsis,ME047,ARF19,GENE,PLT,PROTEIN_COMPLEX,1,activation,ARF19 redundantly activates PLT3 with ARF7 [Edge represents composite family; evidence drawn from curated E037 (ARF19->PLT3).],1,10.1073/pnas.1714410114
Merged Arabidopsis,ME048,ARF2,GENE,Integument_Growth,PROCESS,-1,repression,ARF2 restricts integument cell proliferation (maternal),1,10.1242/dev.02331
Merged Arabidopsis,ME049,ARF2,GENE,SEEDSTICK,GENE,-1,repression,auxin signaling represses STK during ovule development,1,10.3390/ijms22031094
Merged Arabidopsis,ME050,ARF6,GENE,Hypocotyl_Length,PHENOTYPE,1,activation,"ARF6/7/8 activate SAUR19, PRE1, expansins; auxin signaling drives cell elongation.",2,10.1016/j.pbi.2014.07.012; 10.1104/pp.18.00718
Merged Arabidopsis,ME051,ARF6_7_8,PROTEIN_COMPLEX,Plant_Height,PHENOTYPE,1,activation,ARF6 activates auxin-responsive elongation genes in hypocotyl and stem,1,10.3389/fpls.2019.00914
Merged Arabidopsis,ME052,ARF7,GENE,GATA23,GENE,1,activation,IAA28-ARF7 pathway activates GATA23 in oscillation zone,1,10.1101/cshperspect.a039941
Merged Arabidopsis,ME053,ARF7,GENE,LBD,PROTEIN_COMPLEX,1,activation,ARF7 directly binds LBD16 promoter to activate transcription as primary auxin response [Edge represents composite family; evidence drawn from curated E018 (ARF7->LBD16).],1,10.1105/tpc.106.047761
Merged Arabidopsis,ME054,ARF7,GENE,PLT,PROTEIN_COMPLEX,1,activation,ARF7 activates PLT3 in incipient LR primordia [Edge represents composite family; evidence drawn from curated E034 (ARF7->PLT3).],1,10.1073/pnas.1714410114
Merged Arabidopsis,ME055,ARR1,GENE,Plant_Height,PHENOTYPE,1,activation,Type-B ARRs are positive regulators of cytokinin growth responses; arr1 arr10 arr12 triple mutants have severe growth defects,1,10.1199/tab.0168
Merged Arabidopsis,ME056,ARR1,GENE,Shoot_Branching,PHENOTYPE,-1,inhibition,Type-B ARR1 is a net negative regulator of branching; arr1 mutant has increased branching (E014). Added in REFINEMENT iter 1 because T031 ARR1 KO predicted wrong direction - cascade ARR1->TIE1-|BRC1-|branching is net-positive but biology shows ARR1 is net-inhibitory.,1,10.1104/pp.17.01691
Merged Arabidopsis,ME057,ARR1,GENE,TIE1,GENE,1,activation,B-type ARR1 directly binds TIE1 promoter to activate transcription (Yang 2022 Sci Adv),1,10.1126/sciadv.abn5057
Merged Arabidopsis,ME058,ARR_B,PROTEIN_COMPLEX,Lateral_Root_Density,PHENOTYPE,-1,inhibition,ARR1 type-B mediates cytokinin inhibition of LR [Edge represents composite family; evidence drawn from curated E206 (ARR1->Lateral_Root_Density).],1,10.3390/ijms20030486
Merged Arabidopsis,ME059,AUT_SYN,PROTEIN_COMPLEX,FLC,GENE,-1,inhibition,"FCA is a nuclear RNA-binding protein that promotes proximal polyadenylation of COOLAIR (FLC antisense RNA), leading to chromatin silencing and repression of FLC sense transcription",2,10.1104/pp.19.01009; 10.1093/emboj/cdg305
Merged Arabidopsis,ME060,AUX1,GENE,Auxin,HORMONE,1,activation,AUX1 auxin influx carrier facilitates shoot-derived IAA loading into vasculature,1,10.1101/cshperspect.a039933
Merged Arabidopsis,ME061,AUX_IAA,GENE,ARF6,GENE,-1,inhibition,Aux/IAA proteins dimerize with ARF6/7/8 and suppress their transcriptional activity; auxin releases this inhibition.,1,10.1104/pp.18.00718
Merged Arabidopsis,ME062,Auxin,HORMONE,BRC1,GENE,1,activation,BES1 promotes branching by repressing BRC1 cooperatively with SMXLs,1,10.1016/j.xplc.2019.100014
Merged Arabidopsis,ME063,Auxin,HORMONE,CAMEL,GENE,1,activation,Auxin upregulates CAMEL kinase expression/activity for PIN1 polarization feedback,1,10.1126/science.aba3178
Merged Arabidopsis,ME064,Auxin,HORMONE,CCD7,GENE,1,activation,Auxin upregulates MAX3/CCD7 expression in AXR1-dependent manner,10,10.1104/pp.109.137646; 10.1104/pp.108.134783; 10.1371/journal.pgen.1007089; doi; title; authors; year; journal; evidence_sentence; claim
Merged Arabidopsis,ME065,Auxin,HORMONE,CCD8,GENE,1,activation,Auxin upregulates MAX4/CCD8 expression in AXR1-dependent manner,10,10.1104/pp.109.137646; 10.1104/pp.108.134783; 10.1371/journal.pgen.1007089; doi; title; authors; year; journal; evidence_sentence; claim
Merged Arabidopsis,ME066,Auxin,HORMONE,Endosperm_Proliferation,PROCESS,1,activation,post-fertilization auxin triggers central cell division,1,10.1007/s00497-024-00516-8
Merged Arabidopsis,ME067,Auxin,HORMONE,Gibberellin,HORMONE,1,activation,"Elevated auxin in the bud increases gibberellin biosynthesis, supporting elongation.",7,doi; title; authors; year; journal; evidence_sentence; claim
Merged Arabidopsis,ME068,Auxin,HORMONE,IPT,GENE,-1,inhibition,"Auxin represses IPT3 transcription, linking auxin to CK depletion in axillary buds [Framework note: this edge bypasses a receptor Perception Gate (Motif 1). Biologically the feedback runs through DELLA/ARF/ABI5 but those intermediate edges are absent from curated_edges.json. Exogenous-hormone in receptor-KO backgrounds will still modulate this target - a known Trap-5 framework limitation.]",8,10.1199/tab.0168; doi; title; authors; year; journal; evidence_sentence; claim
Merged Arabidopsis,ME069,Auxin,HORMONE,Integument_Growth,PROCESS,1,activation,auxin drives seed coat cell elongation and differentiation,1,10.7554/eLife.20542
Merged Arabidopsis,ME070,Auxin,HORMONE,PIN1,GENE,1,activation,BES1 directly binds BRC1 promoter and cooperates with SMXLs to repress BRC1,2,10.1016/j.xplc.2019.100014; 10.1093/jxb/eraf027
Merged Arabidopsis,ME071,Auxin,HORMONE,PRC2,PROTEIN_COMPLEX,-1,inhibition,"Auxin transcriptionally represses sporophytic PRC2 gene expression in integuments (downregulated by 2,4-D)",1,10.7554/eLife.20542
Merged Arabidopsis,ME072,Auxin,HORMONE,TIR1,GENE,1,activation,Auxin-bound TIR1/AFB F-box proteins ubiquitinate Aux/IAA repressors for degradation.,4,10.7554/eLife.19048; 10.7554/eLife.54740; 10.3389/fpls.2019.00914; 10.1101/gad.316554.118
Merged Arabidopsis,ME073,Auxin,HORMONE,WOX11,GENE,1,activation,Auxin (IAA) directly induces WOX11 expression in regeneration-competent cells,1,10.1105/tpc.114.122887
Merged Arabidopsis,ME074,BAK1,GENE,BIN2,GENE,-1,inhibition,BAK1 heterodimerizes with BRI1; active BRI1/BAK1 complex inhibits BIN2 activity.,1,10.1016/j.pbi.2014.07.012
Merged Arabidopsis,ME075,BAK1,GENE,BSU1,GENE,1,activation,BRI1-BAK1 complex phosphorylates and activates BSK1 (BR signaling kinase),1,10.1105/tpc.19.00335
Merged Arabidopsis,ME076,BAS1,GENE,Brassinosteroid,HORMONE,-1,inhibition,BAS1/CYP734A1 is a BR-26-hydroxylase that inactivates bioactive BRs.,3,10.1016/j.pbi.2014.07.012; 10.1534/g3.112.004580; 10.1104/pp.113.217703
Merged Arabidopsis,ME077,BBX11,GENE,HY5,GENE,1,activation,BBX11 binds HY5 and stabilizes its transcriptional activity (JUDGE S004). HY5->BBX11 reverse arm intentionally excluded to prevent positive-feedback loop (Trap 1).,1,10.1016/j.xplc.2020.100045
Merged Arabidopsis,ME078,BBX21,GENE,BBX11,GENE,1,activation,BBX21 activates BBX11 transcription; parallel HY5-positive cofactors (JUDGE S004).,1,10.1016/j.xplc.2020.100045
Merged Arabidopsis,ME079,BBX21,GENE,HY5,GENE,1,activation,BBX21 physically partners with HY5 to stabilize HY5 binding at photomorphogenic promoters.,1,10.1073/pnas.1607687113
Merged Arabidopsis,ME080,BBX25,GENE,HY5,GENE,-1,inhibition,"BBX25 competes with BBX21/BBX22/BBX11 at HY5 promoter, antagonizing HY5 activity (JUDGE S010).",1,10.1105/tpc.113.109751
