source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
ABA,HORMONE,ABI4_5,PROTEIN_COMPLEX,activation,,MEDIUM,ABA induces ABI5 bZIP TF via PYL/PP2C/SnRK2 core module [Edge represents composite family; evidence drawn from curated E247 (ABA->ABI5).],,,,,,ABI5 is induced by ABA as part of the core ABA signaling module and binds G-box cis elements,,
ABA,HORMONE,ABI5,GENE,activation,,MEDIUM,ABA activates ABI5 bZIP transcription factor,,,,,,transcript levels of ABI5 downregulated in aba2,,
ABA,HORMONE,DELLA,PROTEIN_COMPLEX,activation,,MEDIUM,ABA stabilizes DELLA proteins and promotes DELLA-mediated repression.,,,,,,ABA treatment significantly increased GAI and RGA protein level under red light,,
ABA,HORMONE,GA20OX1,GENE,inhibition,,MEDIUM,ABA represses GA20ox1 expression.,,,,,,AtGA20ox1 expression level 4.3-fold lower than mock-treated controls in red light,,
ABA,HORMONE,GA2OX1,GENE,activation,,MEDIUM,"ABA induces GA2ox1 expression, accelerating GA inactivation.",,,,,,GA catabolic gene AtGA2ox2 showed 2.1-fold increased expression in red light,,
ABA,HORMONE,GA3OX1,GENE,inhibition,,MEDIUM,"ABA represses GA3ox1 expression, reducing bioactive GA4.",,,,,,ABA treatment significantly down-regulated GA biosynthetic genes; AtGA3ox1 expression was 12.5-fold lower,,
ABA,HORMONE,PYL,GENE,activation,,MEDIUM,"ABA binds PYR/PYL/RCAR receptors, inducing conformational change that enables PP2C inhibition",,,,,,ABA bound to PYR/PYL/RCAR receptors inhibits clade A PP2C protein phosphatases,,
ABA,HORMONE,PYL8,GENE,activation,,MEDIUM,ABA binds PYL8 receptor to activate signaling,,,,,,ABA enhances effects of PYL8 on MYB73 and MYB77 activities in presence of IAA,,
ABA,HORMONE,Seed_Size,PHENOTYPE,inhibition,,MEDIUM,maternal ABA restricts endosperm proliferation,,,,,,ABA-deficient mutants produced seeds with increased size; abi5 mutant larger seeds,,
ABA,HORMONE,Shoot_Branching,PHENOTYPE,inhibition,,MEDIUM,ABA feeds back to amplify HB53 expression,,,,,,HB53 is responsive to ABA application in buds,,
ABA2,GENE,ABA,HORMONE,activation,,MEDIUM,short-chain dehydrogenase in ABA biosynthesis,,,,,,ABA2 upstream biosynthesis enzyme; loss leads to reduced ABA and larger seeds,,
ABI1,GENE,SNRK2,GENE,inhibition,,MEDIUM,ABI1 PP2C dephosphorylates and inactivates SnRK2 kinases,,,,,,Lateral root growth of snrk2.2/3/6 mutant seedlings was less sensitive than wild-type to ABA inhibition,,
ABI3,GENE,ABI4,GENE,activation,,MEDIUM,ABI3 positively regulates ABI4,,,,,,ABI4 expression is reduced in abi1-1 and abi3-1 seeds,,
ABI3,GENE,FUS3,GENE,activation,,MEDIUM,ABI3/FUS3 self-reinforcing feedback loop,,,,,,ABI3 and FUS3 positively regulate themselves and each other,,
ABI3,GENE,Storage_reserves,PROCESS,activation,,MEDIUM,ABI3 master maturation TF activates seed storage protein and lipid biosynthesis genes during seed filling,,,,,,"LEC1, LEC2, FUS3 and ABI3 master regulators activate seed-storage protein and oil biosynthesis genes during maturation phase, driving reserve accumulation.",,
ABI4,GENE,ABI3,GENE,activation,,MEDIUM,ABI4 activates ABI3 in ABA response,,,,,,ABI3 expression is induced by ABA in ABI4c lines,,
ABI4,GENE,ABI5,GENE,activation,,MEDIUM,ABI4 induces ABI5 transcription in ABA response,,,,,,constitutive expression of ABI4 resulted in ABA-inducible ABI3 expression and hyperinduction of ABI5,,
ABI4_5,PROTEIN_COMPLEX,Lateral_Root_Density,PHENOTYPE,inhibition,,MEDIUM,ABI4 inhibits LR initiation and elongation via PIN1 reduction [Edge represents composite family; evidence drawn from curated E140 (ABI4->Lateral_Root_Density).],,,,,,ABI4 inhibits both LR initiation and the elongation of emerged LRs,,
ABI5,GENE,Plant_Height,PHENOTYPE,inhibition,,MEDIUM,ABI5 activates ABA-responsive growth-inhibitory genes; ABI5 OE reduces plant growth,,,,,,ABI5 is an important regulator of ABA signaling pathway involved in regulating seed germination and postgerminative growth in Arabidopsis,,
ABI5,GENE,SHB1,GENE,repression,,MEDIUM,ABI5 binds SHB1 promoter,,,,,,ABI5 directly binds two discrete regions in the SHB1 promoter,,
ABI5,GENE,Seed_Size,PHENOTYPE,repression,,MEDIUM,ABI5 represses SHB1 to restrict seed size; abi5 mutants exhibit larger seeds,,,,,,abi5 mutant exhibits larger seeds,,
ACO,GENE,Ethylene,HORMONE,activation,,MEDIUM,ACO oxidises ACC to ethylene,,,,,,precursor ACC negatively affects IAA synthesis,,
ACS,GENE,Ethylene,HORMONE,activation,,MEDIUM,ACS synthesises ACC from SAM,,,,,,ACC treatments significantly enhance radiolabeled indole-3-acetic acid (IAA) transport,,
ACS_ACO,GENE,Ethylene,HORMONE,activation,,MEDIUM,"ACS (ACC synthase) converts SAM to ACC, the rate-limiting step of ethylene biosynthesis",,,,,,Ethylene biosynthesis from SAM proceeds via ACC synthesized by ACS,,
AGB1,GENE,AGG3,GENE,activation,,MEDIUM,Heterotrimeric G-protein assembly: AGB1 (GÎ²) and AGG3 (GÎ³) form an obligate dimer; cooperative stabilisation. Modelled as AGB1 stabilising AGG3 (curated direction E133 AGG3â†’AGB1 omitted to avoid mutual positive feedback per Trap 1; cooperative assembly captured by single-direction approximation).,,,,,,AGG3 interacts with G protein ÃŽÂ² subunit AGB1,,
AGG3,GENE,Cell_Proliferation_Duration,PROCESS,activation,,MEDIUM,G-protein ÃƒÅ½Ã‚Â³ subunit extends proliferative growth,,,,,,agg3 mutants showed reduced seed/organ size; overexpression increased size,,
AGL24,GENE,LFY,GENE,activation,,MEDIUM,AGL24 (with SOC1) activates LFY transcription; 35S::LFY rescues agl24 late flowering,,,,,,AGL24 regulates transcriptional induction of LEAFY; 35S:LFY almost completely rescues agl24 late-flowering phenotype,,
AHK,PROTEIN_COMPLEX,ARR_B,PROTEIN_COMPLEX,activation,,MEDIUM,AHK phosphorelay via AHPs activates type-B ARR1 TF [Edge represents composite family; evidence drawn from curated E081 (AHK2->ARR1).],,,,,,"AHK, ARR, and AHP6 are involved in LRs initiation and growth",,
AHK3,GENE,AHP1,GENE,activation,,MEDIUM,"Activated AHK3 autophosphorylates and transfers phosphate to AHP1, which relays to nucleus",,,,,,"There are four major steps in the cytokinin phosphorelay: (i) AHK sensing and signaling, (ii) AHP nuclear translocation, (iii) ARR-dependent transcriptional activation",,
AHP1,GENE,ARR1,GENE,activation,,MEDIUM,AHP1 phosphotransfer to ARR1 (type-B response regulator) activates its transcriptional activity in nucleus,,,,,,nuclear response regulators (ARRs) that serve as transcriptional regulators,,
AHP6,GENE,Cytokinin,HORMONE,inhibition,,MEDIUM,pseudo-phosphotransfer protein blocks CK signaling,,,,,,ckx3 ckx5 ahp6 triple mutants had 23% more siliques; AHP6 acts as feedback repressor,,
AIF2,GENE,IKU1,GENE,repression,,MEDIUM,bHLH TF represses IKU1,,,,,,IKU1 suppressed in AIF2ox plants,,
AIF2,GENE,MINI3,GENE,repression,,MEDIUM,bHLH TF represses MINI3,,,,,,MINI3 suppressed in AIF2ox plants,,
AIF2,GENE,SHB1,GENE,repression,,MEDIUM,bHLH TF represses SHB1 expression,,,,,,SHB1 suppressed in AIF2ox plants,,
ANR1,GENE,Lateral_Root_Density,PHENOTYPE,activation,,MEDIUM,ANR1 MADS-box TF positively regulates LR elongation in nitrate patches,,,,,,ANR1 MADS box gene plays key role; its underexpression prevents local stimulation of lateral root elongation by high nitrate availability,,
ANT,GENE,Integument_Growth,PROCESS,activation,,MEDIUM,ANT (AINTEGUMENTA) AP2-domain TF drives integument primordium proliferation,,,,,,ANT activity would increase cell proliferation; overexpression causes oversized ovules/seeds,,
ANT,GENE,Ovule_size,PROCESS,activation,,MEDIUM,promotes ovule primordium cell proliferation,,,,,,ANT provides key proliferative potential to the ovule primordia early in their development,,
AP1,GENE,Flowering_Time,PHENOTYPE,activation,,MEDIUM,AP1 is a floral meristem identity gene promoting flowering,,,,,,"spl2/9/11/13/15 mutants showed reduced LFY, AP1, FUL, and SOC1 transcripts; AP1 specifies floral meristem identity.",,
AP1,GENE,TFL1,GENE,repression,,MEDIUM,AP1 directly binds essential cis-regulatory elements in the TFL1 promoter to repress it,,,,,,TFL1 expression is downregulated in plants constitutively expressing AP1,,
AP2,GENE,AP1,GENE,repression,,MEDIUM,AP2 binds AP1 regulatory regions (ChIP-seq direct targets),,,,,,"Other Direct Targets: SEP3, AP1, TOE3, ARF3/ETTIN, AGL44",,
AP2,GENE,Endosperm_Proliferation,PROCESS,repression,,MEDIUM,"AP2 promotes early endosperm cellularization, limiting nuclear proliferation",,,,,,ap2 endosperm cellularization initiated at 6 DAP vs 5 DAP in WT; larger endosperm central vacuole in ap2,,
AP2,GENE,Integument_Growth,PROCESS,repression,,MEDIUM,AP2 restricts seed coat epidermal cell elongation,,,,,,average length of seed coat epidermal cells in ap2 and wild-type seeds at 8 DAP were 41 and 30 ÃƒÅ½Ã‚Â¼m respectively,,
AP2,GENE,SOC1,GENE,repression,,MEDIUM,AP2 directly binds SOC1 upstream region to repress transcription,,,,,,SOC1: AP2 directly binds upstream region and represses transcription; soc1-2 ap2-12 double mutant flowered only 1 leaf later than wild-type,,
AP2,GENE,miR172,REGULATORY_RNA,repression,,MEDIUM,AP2 directly represses miR172b transcription (negative feedback loop),,,,,,miR172b: AP2 negatively regulates; miR172 levels were 270% of those in the wild type in ap2 mutants,,
AP2_TOE,PROTEIN_COMPLEX,FT,GENE,inhibition,,MEDIUM,AP2 represses FT transcription; miR172 promotes flowering by relieving AP2 repression of FT,,,,,,"FT mRNA levels were between 49% and 79% of Col-0 levels in mir172b mutants and between 27% and 31% of Col-0 levels in mir172abcde quintuple mutants, indicating AP2-like genes repress FT",,
ARF19,GENE,LBD,PROTEIN_COMPLEX,activation,,MEDIUM,ARF19 binds LBD16 promoter (minor contribution vs ARF7) [Edge represents composite family; evidence drawn from curated E021 (ARF19->LBD16).],,,,,,"ARF19 directly regulates both genes, but LBD16 less so",,
ARF19,GENE,PLT,PROTEIN_COMPLEX,activation,,MEDIUM,ARF19 redundantly activates PLT3 with ARF7 [Edge represents composite family; evidence drawn from curated E037 (ARF19->PLT3).],,,,,,ARF7 and ARF19 required to activate expression of early PLT genes,,
ARF2,GENE,Integument_Growth,PROCESS,repression,,MEDIUM,ARF2 restricts integument cell proliferation (maternal),,,,,,ARF2 negatively regulates auxin signaling and seed size via downregulation of cell division in the integument region,,
ARF2,GENE,SEEDSTICK,GENE,repression,,MEDIUM,auxin signaling represses STK during ovule development,,,,,,"Genetic Interaction of SEEDSTICK, GORDITA and AUXIN RESPONSE FACTOR 2 during seed development",,
