network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Flowering Time,N001,Long_Day,ENVIRONMENT,CO,GENE,1,activation,LD afternoon coincides with CO mRNA peak (driven by FKF1-GI-mediated CDF degradation) and stabilizes CO protein; SD degrades CO,1,10.1104/pp.16.01327
Flowering Time,N002,Blue_Light,ENVIRONMENT,FKF1,GENE,1,activation,Blue light activates FKF1 LOV domain to form FKF1-GI complex,1,10.1126/science.1146994
Flowering Time,N003,GI,GENE,FKF1,GENE,1,activation,GI physically binds FKF1 in a blue-light-dependent manner via FKF1 LOV domain; stabilizes FKF1 nuclear abundance,1,10.1126/science.1146994
Flowering Time,N004,FKF1,GENE,CDF1,GENE,-1,inhibition,"FKF1 forms SCF(FKF1) E3 ligase complex with ASK1, ASK2, CUL1 and targets CDF1 for ubiquitin-mediated degradation in late afternoon",2,10.1126/science.1146994; 10.1199/tab.0178
Flowering Time,N005,GI,GENE,CDF1,GENE,-1,repression,GI forms complex with FKF1 that degrades CDFs in afternoon,1,10.1199/tab.0178
Flowering Time,N006,CDF1,GENE,CO,GENE,-1,repression,CDF1-5 bind DOF cis-elements in CO promoter in the morning and recruit TOPLESS/TPR co-repressors,2,10.1016/j.xplc.2023.100552; 10.1199/tab.0178
Flowering Time,N007,GI,GENE,CO,GENE,1,activation,GI activates CO expression via FKF1-mediated degradation of CDF repressors; GI also partners with FKF1 to stabilize afternoon CO protein,1,10.1111/tpj.12759
Flowering Time,N008,FKF1,GENE,CO,GENE,1,activation,"FKF1 binds CO through LOV domain in blue-light-enhanced manner; prevents COP1 homodimer formation, stabilizing CO in LD afternoon",2,10.1073/pnas.1415375111; 10.1199/tab.0178
Flowering Time,N009,CO,GENE,FT,GENE,1,activation,CO binds directly to CORE cis-elements in FT promoter; CO-NF-Y complex brings distal NF-Y binding sites to proximal CORE via chromatin looping,3,10.1104/pp.16.01327; 10.3390/ijms22115716; 10.1199/tab.0178
Flowering Time,N010,FRI,GENE,FLC,GENE,1,activation,FRI forms scaffold complex (FRI-C) with FRL1/FES1/SUF4/FLX to activate FLC via chromatin modifier recruitment,1,10.1199/tab.0171
Flowering Time,N011,Cold,ENVIRONMENT,VIN3,GENE,1,activation,Prolonged cold progressively induces VIN3 transcription,1,10.4161/psb.5.11.13465
