network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Tillering,N001,Strigolactone,HORMONE,D14,GENE,1,activation,"SL binds D14 alpha/beta hydrolase, induces conformational change and formation of D14-D3-D53 complex",2,10.1038/nature12870; 10.1038/nature12878
Tillering,N002,D14,GENE,D53,PROTEIN_COMPLEX,-1,inhibition,D14 recruits SCF-D3 E3 ligase to ubiquitinate D53 for 26S proteasomal degradation,1,10.1038/nature12870
Tillering,N003,D3,GENE,D53,PROTEIN_COMPLEX,-1,inhibition,D3 is the F-box subunit of SCF complex that ubiquitinates D53; required for proteasomal degradation,1,10.1038/nature12878
Tillering,N004,D53,PROTEIN_COMPLEX,IPA1,GENE,-1,repression,D53 binds IPA1 via direct protein-protein interaction and represses IPA1 transcriptional activation activity,1,10.1038/cr.2017.102
Tillering,N005,D53,PROTEIN_COMPLEX,MOC1,GENE,-1,inhibition,D53 physically interacts with MOC1 to repress tiller bud outgrowth,1,10.1038/s41477-019-0376-1
Tillering,N006,D53,PROTEIN_COMPLEX,CKX9,GENE,-1,repression,D53 represses OsCKX9 expression; SL-induced D53 degradation derepresses OsCKX9,1,10.1073/pnas.1810980116
Tillering,N007,IPA1,GENE,TB1,GENE,1,activation,IPA1 directly binds GTAC motif in OsTB1 promoter via SBP domain and activates transcription,2,10.1105/tpc.113.113639; 10.1038/cr.2017.102
Tillering,N008,IPA1,GENE,D53,PROTEIN_COMPLEX,1,activation,IPA1 directly binds GTAC element in D53 promoter and activates D53 transcription (negative feedback loop with D53 protein repressing IPA1),1,10.1038/cr.2017.102
Tillering,N009,IPA1,GENE,PIN1B,GENE,1,activation,IPA1 directly binds OsPIN1b promoter to activate auxin efflux carrier expression,1,10.1105/tpc.113.113639
Tillering,N010,miR156,REGULATORY_RNA,IPA1,GENE,-1,repression,OsmiR156 cleaves IPA1/OsSPL14 mRNA via miR156 recognition site in 3' region,1,10.1038/ng.591
Tillering,N011,IPI1,GENE,IPA1,GENE,1,activation,IPI1 stabilises OsSPL14/IPA1 protein in shoot apex via K63-linked polyubiquitination (tissue-specific: degrades in panicle but stabilises in shoot); ipi1-CRISPR -> reduced IPA1 accumulation -> increased tillering,1,10.1105/tpc.16.00879
Tillering,N012,SHI1,GENE,IPA1,GENE,-1,inhibition,"OsSHI1 physically interacts with IPA1 and reduces IPA1 DNA binding affinity, inhibiting transcriptional activation activity",1,10.1105/tpc.19.00023
