network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Plant Height,N001,TAGA20OX,GENE,Gibberellin,HORMONE,1,activation,GA 20-oxidase catalyses GA12→GA9 and GA53→GA20; rate-limiting late GA biosynthesis.,2,10.1007/s00425-005-0104-0; 10.1104/pp.111.183657
Plant Height,N002,TAGA3OX,GENE,Gibberellin,HORMONE,1,activation,GA 3-oxidase catalyses 3β-hydroxylation GA20→GA1 producing bioactive GA.,1,10.1093/jxb/eraf151
Plant Height,N003,TAGA2OX,GENE,Gibberellin,HORMONE,-1,inhibition,GA 2-oxidase catabolises bioactive GA1/GA4 to inactive GA8/GA34.,1,10.1104/pp.18.00023
Plant Height,N004,TAGA1OX1,GENE,Gibberellin,HORMONE,-1,inhibition,"TaGA1ox1 1β-hydroxylates GA9/GA20 to inactive GA61/GA60, diverting from bioactive pool.",1,10.1093/jxb/eraf151
Plant Height,N005,RHT8,GENE,Gibberellin,HORMONE,1,activation,Rht8 (TaRNHL-D1) promotes bioactive GA biosynthesis in stem.,1,10.1016/j.molp.2022.01.014
Plant Height,N006,Nitrogen,ENVIRONMENT,Gibberellin,HORMONE,1,activation,"Nitrate signalling activates GA metabolism gene expression, raising bioactive GA.",1,10.1016/j.cub.2021.09.024
Plant Height,N007,Gibberellin,HORMONE,TAGA2OX,GENE,1,activation,GA induces its own catabolism — classic GA homeostasis (GA→TaGA2ox↑→GA↓).,1,10.7717/peerj.15924
Plant Height,N008,VRN1,GENE,TAGA20OX,GENE,1,activation,"VRN1 binds and activates the TaGA20ox2 promoter, coupling vernalization to GA biosynthesis.",1,10.1016/j.xplc.2025.101325
Plant Height,N009,RHT_B1,GENE,TAGA20OX,GENE,1,activation,DELLA promotes TaGA20ox transcription (negative-feedback GA homeostasis: DELLA↑→GA↑→DELLA↓).,1,10.7717/peerj.15924
Plant Height,N010,RHT18,GENE,TAGA2OX,GENE,1,activation,"Rht18 allele drives ~4-fold upregulation of TaGA2ox-A9, increasing GA catabolism.",1,10.1104/pp.18.00023
Plant Height,N011,RHT24,GENE,TAGA2OX,GENE,1,activation,Rht24b cis-regulatory variant elevates TaGA2ox-A9 expression in stems.,1,10.1111/nph.17808
Plant Height,N012,RHT12,GENE,TAGA2OX,GENE,1,activation,Rht12b SNP-390(C/A) elevates TaGA2oxA13 expression; causal variant of the Rht12 locus.,2,10.1007/s00122-023-04502-y; 10.1093/jxb/eraa443
Plant Height,N013,Gibberellin,HORMONE,TAGID1,GENE,1,activation,GA binding in the TaGID1 pocket induces conformational change enabling DELLA interaction.,2,10.1104/pp.111.183657; 10.1016/j.jplph.2012.11.010
Plant Height,N014,TAGID1,GENE,RHT_B1,GENE,-1,inhibition,"GA-bound TaGID1 binds Rht-B1 DELLA N-terminal motif, recruiting SCF-SLY1 for ubiquitination.",1,10.1104/pp.111.183657
Plant Height,N015,TAGID1,GENE,RHT_D1,GENE,-1,inhibition,GA-bound TaGID1 binds Rht-D1 DELLA homeolog for SCF-SLY1-mediated degradation.,1,10.1016/j.jplph.2012.11.010
Plant Height,N016,TASLY1,GENE,RHT_B1,GENE,-1,inhibition,SCF-TaSLY1 F-box ubiquitinates Rht-B1 DELLA for 26S proteasomal degradation.,1,10.1104/pp.111.183657
Plant Height,N017,TASLY1,GENE,RHT_D1,GENE,-1,inhibition,SCF-TaSLY1 ubiquitinates Rht-D1 DELLA homeolog (parallel to Rht-B1).,1,10.1104/pp.111.183657
Plant Height,N018,Nitrogen,ENVIRONMENT,RHT_B1,GENE,-1,inhibition,Nitrate promotes GA-mediated destabilisation of DELLA (partial rescue by global-della mutant).,1,10.1016/j.cub.2021.09.024
Plant Height,N019,RHT_B1,GENE,Plant_Height,PHENOTYPE,-1,repression,"Rht-B1 DELLA represses GA-responsive growth; Rht-B1b reduces height ~20%, Rht-B1c ~50%.",2,10.1104/pp.111.183657; 10.3389/fpls.2019.00051
Plant Height,N020,RHT_D1,GENE,Plant_Height,PHENOTYPE,-1,repression,Rht-D1 DELLA homeolog represses growth; Rht-D1b Green-Revolution dwarfing allele ~20%.,1,10.1104/pp.111.183657
Plant Height,N021,RHT_B1,GENE,PLATZ_A1,GENE,-1,inhibition,DELLA GRAS PFYRE subdomain physically binds and sequesters PLATZ-A1 (Y2H + genetics).,1,10.1073/pnas.2300203120
Plant Height,N024,PLATZ_A1,GENE,Plant_Height,PHENOTYPE,1,activation,PLATZ-A1 (Rht25) LOF reduces height ~12.7%; OE increases height (causal Rht25 gene).,1,10.1073/pnas.2300203120
Plant Height,N025,RHT_B1,GENE,PIF,GENE,-1,inhibition,DELLA sequesters PIF TFs; accumulated Rht-B1c constitutively blocks PIF activity.,1,10.1093/jxb/ert183
Plant Height,N026,PIF,GENE,Plant_Height,PHENOTYPE,1,activation,PIFs activate cell-elongation genes; DELLA-sequestration decreases stem elongation.,1,10.1093/jxb/ert183
Plant Height,N027,Light,ENVIRONMENT,PIF,GENE,-1,inhibition,Red/far-red light via phytochromes targets PIFs for degradation.,1,10.1093/jxb/ert183
Plant Height,N028,TAERF_A1,GENE,PIF,GENE,1,activation,TaERF-A1 directly binds the TaPIF4 promoter and activates its transcription (EMSA/ChIP).,1,10.1016/j.xplc.2024.101194
Plant Height,N029,TAD11,GENE,Brassinosteroid,HORMONE,1,activation,TaD11 (C6-oxidase) catalyses late BR biosynthesis step; tad11-2a reduces endogenous BR.,1,10.1007/s00122-022-04158-0
Plant Height,N030,TADWF4,GENE,Brassinosteroid,HORMONE,1,activation,TaDWF4 (CYP90B) 22α-hydroxylation of campesterol — rate-limiting BR biosynthesis branch-point.,1,10.1038/s42003-022-03139-9
Plant Height,N031,Brassinosteroid,HORMONE,TABRI1,GENE,1,activation,"BL ligand binds TaBRI1 extracellular domain, activating receptor kinase and downstream cascade.",1,10.1186/s12870-025-06762-w
Plant Height,N032,TASERK,GENE,TABRI1,GENE,1,activation,"TaSERK (BAK1 co-receptor) heterodimerises with TaBRI1, required for BR perception.",1,10.1371/journal.pone.0153273
Plant Height,N033,TABKI1,GENE,TABRI1,GENE,-1,inhibition,TaBKI1 represses TaBRI1 kinase activity in the BR-off state.,1,10.1038/s41586-023-06023-6
Plant Height,N034,TABRI1,GENE,TABKI1,GENE,-1,inhibition,Activated TaBRI1 facilitates TaZnF-mediated ubiquitination of TaBKI1 (mutual release loop).,1,10.1038/s41586-023-06023-6
Plant Height,N035,TAZNF,GENE,TABKI1,GENE,-1,inhibition,TaZnF RING E3 ligase ubiquitinates TaBKI1 for proteasomal destruction.,1,10.1038/s41586-023-06023-6
Plant Height,N036,TABRI1,GENE,TABIN2,GENE,-1,inhibition,BRI1-BSK-CDG-BSU1 cascade dephosphorylates and inactivates TaBIN2 (GSK3-like kinase).,1,10.1186/s12870-025-06762-w
Plant Height,N037,TABIN2,GENE,TABZR1,GENE,-1,inhibition,"TaBIN2 phosphorylates TaBZR1/TaBES1, blocking nuclear localisation and DNA binding.",1,10.1186/s12870-025-06762-w
Plant Height,N038,TABZR1,GENE,Plant_Height,PHENOTYPE,1,activation,Dephosphorylated TaBZR1/TaBES1 activates BR-response growth and cell-elongation genes.,1,10.1186/s12870-025-06762-w
Plant Height,N039,TABZR1,GENE,RHT_B1,GENE,-1,inhibition,TaBZR1 physically binds DELLA proteins; reciprocal sequestration (BR-GA antagonism).,1,10.1186/s12870-025-06762-w
Plant Height,N040,TABIN2,GENE,RHT_B1,GENE,1,activation,TaBIN2 phosphorylates and stabilises DELLA (when BR low); BR-GA crosstalk.,1,10.1186/s12870-025-06762-w
Plant Height,N041,Auxin,HORMONE,TATIR1,GENE,1,activation,Auxin binds TaTIR1/AFB F-box forming co-receptor with Aux/IAA substrate.,1,10.3389/fpls.2018.01395
Plant Height,N042,TATIR1,GENE,TAIAA,GENE,-1,inhibition,Auxin-loaded TaTIR1 targets TaAux/IAA proteins for proteasomal degradation.,1,10.3389/fpls.2018.01395
Plant Height,N043,TAIAA,GENE,TAARF,GENE,-1,inhibition,TaAux/IAA binds and represses TaARF TFs; removal de-represses ARF activity.,1,10.3389/fpls.2018.01395
Plant Height,N044,TAARF,GENE,Plant_Height,PHENOTYPE,1,activation,TaARF4-B haplotypes associate with plant height QTL; ARFs activate growth/elongation genes.,1,10.1093/aob/mcy218
Plant Height,N045,TAARF4,GENE,TAHB33,GENE,1,activation,TaARF4-A regulates TaHB33 expression (auxin-response pathway).,1,10.1093/aob/mcy218
Plant Height,N046,TAHB33,GENE,TAGH3,GENE,-1,repression,"TaHB33 represses TaGH3 expression, indirectly raising active auxin.",1,10.1093/aob/mcy218
Plant Height,N047,TAGH3,GENE,Auxin,HORMONE,-1,inhibition,"TaGH3 enzymes conjugate IAA with amino acids, reducing the active auxin pool.",1,10.1093/aob/mcy218
Plant Height,N048,Vernalization,ENVIRONMENT,VRN1,GENE,1,activation,Cold epigenetically induces VRN1 in shoot apex.,1,10.1016/j.xplc.2025.101325
Plant Height,N049,Photoperiod,ENVIRONMENT,PPD_D1,GENE,1,activation,Ppd-1 is a pseudo-response regulator entrained by day length; long-day activates Ppd-1.,1,10.3389/fpls.2018.01312
Plant Height,N050,PPD_D1,GENE,Plant_Height,PHENOTYPE,-1,repression,"Dominant Ppd-D1a shortens each internode by ~10%, reducing overall plant height.",2,10.3389/fpls.2018.01312; 10.3389/fpls.2018.01312
Plant Height,N051,RHT13,GENE,Pathogenesis_Related_Genes,PROCESS,1,activation,Autoactive Rht-B13b (S240F) NB-LRR upregulates PR genes including class-III peroxidases.,1,10.1073/pnas.2209875119
Plant Height,N052,Pathogenesis_Related_Genes,PROCESS,Plant_Height,PHENOTYPE,-1,inhibition,"Class-III peroxidases cross-link cell-wall compounds, limiting elongation and reducing height.",1,10.1073/pnas.2209875119
Plant Height,N053,TAOSCA1_4,GENE,Plant_Height,PHENOTYPE,1,activation,TaOSCA1.4 hyperosmolality-gated Ca2+ channel; RNAi reduces height 11-16% via GA-independent route.,2,10.3389/fpls.2024.1381243; 10.3389/fpls.2024.1381243
