test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,comparison_baseline,phenotype_node,expected_direction,expected_magnitude,doi,paper_title,authors,year,journal,evidence_sentence,verification,evidence_quality,species,notes
T001,TIR1,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,tir1 allele had the largest effect on induction of lateral root primordia,,,,tir1 KO -> TIR1 node
T002,AFB1,knockout,,,,WT,Lateral_Root_Density,increased,,,,,,,afb1 mutation had an opposite effect on lateral root formation,,,,AFB1 is a TIR1/AFB-family paralog; mapped to TIR1 composite representative (single-paralog redundancy gm=0.997)
T003,AFB2,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,afb2 mutations having smaller median effects,,,,AFB2 -> TIR1 family (single-paralog redundancy) [iter1 LR refinement: gm: {'TIR1': 0.997} -> {'TIR1': 0.85}]
T004,TIR1 AFB2,double_knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,roots of lines containing tir1 and afb2 displayed strong IAA resistance,,,,tir1 afb2 double -> partial TIR1/AFB family loss (2 of 6 paralogs collapsed into TIR1 node)
T005,TIR1 AFB2 AFB3,triple_knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,tir1afb23 seedlings lack roots defects to some degree,,,,tir1 afb2 afb3 triple -> the three main root auxin receptors -> full TIR1 perception loss in network
T006,AFB4 AFB5,double_knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,"afb45 largely overlapping functions, minimal effects on most traits",,,,"afb4 afb5 double -> partial TIR1 family loss (AFB4/5 are a distinct clade, residual TIR1/AFB1/2/3 intact)"
T007,IAA14,gain_of_function,,,,WT,Lateral_Root_Density,decreased,,,,,,,Lateral root formation is blocked by gain-of-function mutation in SOLITARY-ROOT/IAA14,,,,slr-1 is a stabilised dominant IAA14; gm=2.0 encodes super-active repressor (see §Dominant-negative Aux/IAA rule)
T008,IAA28,gain_of_function,,,,WT,Lateral_Root_Density,decreased,,,,,,,both relative expression level and promoter activity of GATA23 was reduced only in the iaa28-1 gain-of-function mutant,,,,iaa28-1 stabilised dominant allele; gm=2.0
T009,IAA12,gain_of_function,,,,WT,Lateral_Root_Density,decreased,,,,,,,BDL (IAA12-ARF5) signaling module in LRP development,,,,Dominant bdl stabilised allele; ARF5 pathway not captured
T010,IAA3,gain_of_function,,,,WT,Lateral_Root_Density,decreased,,,,,,,plants expressing gain-of-function shy2-2 allele in endodermal cells display delayed lateral root emergence,,,,shy2 (iaa3) stabilised dominant allele; IAA3 is the nearest LR-functional Aux/IAA paralog to the in-network IAA14 node; gm=2.0
T011,ARF7,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,arf7 and arf19 single mutants show mild effects,,,,arf7 KO
T012,ARF19,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,arf7 and arf19 single mutants show mild effects,,,,arf19 KO
T013,ARF7 ARF19,double_knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,arf7 arf19 double mutants exhibit severely reduced lateral root formation phenotype,,,,arf7 arf19 double KO
T014,ARF5,loss_of_function,,,,WT,Lateral_Root_Density,decreased,,,,,,,Loss-of-function signaling mutants show altered branching patterns with fewer LRP/LRs,,,,"ARF5 governs embryonic patterning, not modelled here"
T015,LBD16,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,number of lateral roots was reduced slightly in 7-d-old lbd16-1 seedlings,,,,LBD16 is one of several LR LBDs collapsed into the LBD composite; single-paralog gm=0.997 [iter1 LR refinement: gm: {'LBD': 0.997} -> {'LBD': 0.5}]
T016,LBD16,overexpression,,,,WT,Lateral_Root_Density,increased,,,,,,,overexpression of LBD16 and LBD29 induced lateral root formation in the absence of ARF7 and ARF19,,,,LBD16 OE -> LBD composite OE
T017,LBD29,overexpression,,,,WT,Lateral_Root_Density,increased,,,,,,,Pro35S:LBD29 seedlings developed small number of lateral roots,,,,LBD29 OE -> LBD composite OE
T018,LBD16,knockdown,,,,WT,Lateral_Root_Density,decreased,,,,,,,lateral root formation in Pro35S:LBD16-SRDX seedlings was strongly impaired,,,,LBD16 knockdown -> mild reduction in LBD composite
T019,LBD18,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,LBD18 regulates lateral root formation,,,,LBD18 single KO [iter1 LR refinement: gm: {'LBD': 0.997} -> {'LBD': 0.5}]
T020,LBD29,knockout,,,,WT,Lateral_Root_Density,decreased,,,,,,,LBD29 loss contributes to reduced lateral roots,,,,LBD29 single KO [iter1 LR refinement: gm: {'LBD': 0.997} -> {'LBD': 0.5}]
T021,GATA23,loss_of_function,,,,WT,Lateral_Root_Density,decreased,,,,,,,gata23 gain- and loss-of-function mutants show altered numbers and spacing of LRs,,,,gata23 LOF
