source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
Glucose,ENVIRONMENT,G3P,METABOLITE,activation,metabolic,HIGH,"Glucose enters glycolysis through Pgi-catalysed isomerisation to F6P, split by aldolase to DHAP and GAP (G3P). G3P is one of the two MEP pathway precursors.",,,,,,glyceraldehyde 3-phosphate (G3P) and pyruvate are condensed to form 1-deoxy-d-xylulose-5-phosphate (DXP) by DXP synthase (DXS),,
Glucose,ENVIRONMENT,Pyruvate,METABOLITE,activation,metabolic,HIGH,"Glucose is catabolised through glycolysis (Embden-Meyerhof-Parnas pathway) to pyruvate, one of the two MEP pathway substrates.",,,,,,deletion of the zwf gene encoding glucose-6-phosphate dehydrogenase (G6PD)...resulted in the increased carbon fluxes in the Embden-Meyerhof-Parnas (EMP) pathway and indirectly led to an increase in lycopene production,,
Glycerol,ENVIRONMENT,G3P,METABOLITE,activation,metabolic,HIGH,"Glycerol is phosphorylated to glycerol-3-phosphate then oxidised to DHAP, which enters glycolysis and becomes G3P, elevating the G3P pool relative to pyruvate.",,,,,,"Glycerol is a viable carbon source for beta-carotene and lycopene production, as it increases glyceraldehyde 3-phosphate and pyruvate, which are imperative intermediates in central carbon metabolism extension to the MEP pathway",,
Pgi,GENE,G3P,METABOLITE,activation,enzymatic,MEDIUM,"Pgi (phosphoglucose isomerase) directs G6P into glycolysis, feeding G3P. KO of pgi blocks glycolytic flux and redirects carbon through pentose phosphate pathway (6PG -> Ru5P -> G3P+E4P), altering the G3P/pyruvate balance.",,,,,,"Deletion of pgi and zwf was found to eliminate catabolite repression as well as the ability of E. coli to consume glucose for biomass formation, and the yield from glucose of the bioproduct D-glucaric acid was significantly increased in a delta-pgi delta-zwf strain",,
Zwf,GENE,G3P,METABOLITE,inhibition,competing_sink,HIGH,"Zwf (G6P dehydrogenase) diverts G6P into the oxidative pentose phosphate pathway, away from glycolysis. Knockout of zwf redirects more G6P into EMP and raises G3P supply to DXS; zwf deletion has been shown to increase lycopene 130% and beta-carotene 32.5%.",,,,,,"knockout of the zwf gene, significantly enhanced lycopene production by over 130%",,
GapA,GENE,G3P,METABOLITE,inhibition,competing_sink,MEDIUM,"GapA (GAPDH) consumes G3P to 1,3-bisphosphoglycerate in lower glycolysis. Fine reduction of gapA expression raises the G3P pool available to DXS.",,,,,,"the distribution between pyruvate and glyceraldehyde 3-phosphate (G3P), the originating precursors of the isoprenoid pathway, is a major factor that can limit isoprenoid production yields in E. coli, with alterations in the central metabolism that redirect flux from pyruvate back to G3P enhance lycopene production",,
PykA,GENE,Pyruvate,METABOLITE,activation,enzymatic,MEDIUM,"PykA (pyruvate kinase II) converts PEP to pyruvate. Deletion of pykA diverts PEP away from pyruvate (and acetate), potentially rebalancing G3P:pyruvate for MEP pathway.",,,,,,deleting pyruvate kinases-I and -II (Pyk-I and-II)...lycopene production was significantly increased,,
PykF,GENE,Pyruvate,METABOLITE,activation,enzymatic,MEDIUM,"PykF (pyruvate kinase I) is the major pyruvate kinase. Deletion of both pykA and pykF nearly eliminates PEP->pyruvate flux through this route, forcing rerouting through PPC/PPS/OAA.",,,,,,deleting pyruvate kinases-I and -II (Pyk-I and-II)...lycopene production was significantly increased,,
Pps,GENE,Pyruvate,METABOLITE,inhibition,competing_sink,HIGH,"Pps (PEP synthase, ppsA) converts pyruvate back to PEP, reducing excess pyruvate and rebalancing flux toward G3P. OE of ppsA produced a 250% increase in lycopene by diverting pyruvate to G3P via PEP.",,,,,,overexpressing phosphoenolpyruvate (PEP) synthase (PPS)...achieved a 250% increase in lycopene production by...diverting flow from pyruvate to G3P,,
Pps,GENE,G3P,METABOLITE,activation,metabolic_bypass,HIGH,"By converting pyruvate to PEP, Pps supports gluconeogenic flux that replenishes the G3P pool (PEP -> OAA -> ... or PEP -> F1,6BP -> G3P via reversible glycolytic steps).",,,,,,alterations in the central metabolism that redirect flux from pyruvate back to G3P enhance lycopene production,,
Ppc,GENE,Acetyl_CoA,METABOLITE,inhibition,metabolic_bypass,MEDIUM,"Ppc (PEP carboxylase) converts PEP to oxaloacetate, creating a bypass to the TCA cycle that reduces acetyl-CoA overflow and stabilises the PEP-pyruvate pool.",,,,,,overexpressing Ppc and Pck to introduce the bypass pathway between PEP and pyruvate via the oxaloacetate and TCA cycle,,
AceE,GENE,Acetyl_CoA,METABOLITE,activation,enzymatic,HIGH,"AceE is the E1 component of pyruvate dehydrogenase (PDH), converting pyruvate to acetyl-CoA. KO of aceE forces pyruvate accumulation and reroutes flux; paradoxically this can improve lycopene in MEP-dominant systems by restoring pyruvate-to-DXS flux.",,,,,,"knockout of aceE would presumably improve carbon flux to pyruvate and formate, and further deletion of fdhF",,
