source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
14-3-3,PROTEIN_COMPLEX,FD,GENE,activation,protein_binding,HIGH,14-3-3 proteins bind phosphorylated FD T282 to suppress condensation and promote dimerization/DNA binding,,,,,,"interaction of 14-3-3 proteins with the C terminus of phosphorylated FD reduces liquid phase condensation of the intrinsically disordered FD protein, allowing it to bind DNA",,
AGL15,GENE,FT,GENE,repression,transcriptional_repression,HIGH,AGL15 directly binds CArG boxes in the FT promoter/intron and recruits corepressors (HDAC),,,,,,AGL15 represses FT via direct binding to CArG boxes in promoter/intron; ChIP-qPCR identifies 3 binding sites,,
AGL15,GENE,SOC1,GENE,repression,transcriptional_repression,HIGH,AGL15 directly binds SOC1 regulatory sequences and recruits corepressors via EAR motif,,,,,,AGL15 represses SOC1 via direct binding; recruits corepressors via EAR motif,,
AGL18,GENE,FT,GENE,repression,transcriptional_repression,HIGH,AGL18 acts redundantly with AGL15 to repress FT,,,,,,AGL18 represses FT redundantly with AGL15,,
AGL18,GENE,SOC1,GENE,repression,transcriptional_repression,HIGH,AGL18 represses SOC1 in cooperation with AGL15 and SVP,,,,,,AGL18 represses SOC1 redundantly with AGL15,,
AGL24,GENE,Flowering_Time,PHENOTYPE,activation,phenotypic_output,HIGH,AGL24 is a dosage-dependent flowering promoter; overexpression accelerates flowering,,,,,,35S:AGL24 strong lines show ~4-6 fewer rosette leaves at flowering (LD); ~20 fewer leaves (SD); agl24 loss-of-function: Late flowering,,
AGL24,GENE,LFY,GENE,activation,transcriptional_activation,HIGH,AGL24 (with SOC1) activates LFY transcription; 35S::LFY rescues agl24 late flowering,,,,,,AGL24 regulates transcriptional induction of LEAFY; 35S:LFY almost completely rescues agl24 late-flowering phenotype,,
AGL24,GENE,SEP3,GENE,repression,transcriptional_repression,MEDIUM,AGL24 acts as component of SVP-AGL24-SOC1 complex to block SEP3 in vegetative phase,,,,,,AGL24 represses SEP3; component of SVP-AGL24-SOC1 complex,,
AGL24,GENE,SOC1,GENE,activation,transcriptional_activation,HIGH,AGL24 acts as direct inducer of SOC1; heterodimerizes with SOC1 protein to enter nucleus,,,,,,AGL24 acts as a direct inducer of SOC1 and flowering,,
AHL15,GENE,SPL15,GENE,repression,transcriptional,HIGH,AHL15 represses SPL15 independently of miR156,,,,,,AHL15 and AHL20 interfere with the ageing pathway by repressing SPL2/9/13/15 gene expression in an miRNA-independent manner.,,
AHL15,GENE,SPL9,GENE,repression,transcriptional,HIGH,AHL15 directly represses SPL9 (and SPL2/13/15) in an miR156-independent manner,,,,,,AHL15 and its close homologue AHL20 interfere with the ageing pathway by repressing SPL2/9/13/15 gene expression in an miRNA-independent manner.,,
AP1,GENE,Flowering_Time,PHENOTYPE,activation,transcriptional,HIGH,AP1 is a floral meristem identity gene promoting flowering,,,,,,"spl2/9/11/13/15 mutants showed reduced LFY, AP1, FUL, and SOC1 transcripts; AP1 specifies floral meristem identity.",,
AP1,GENE,LFY,GENE,activation,transcriptional_activation,HIGH,AP1 positive feedback activation of LFY; LFY expressed prematurely in plants constitutively expressing AP1,,,,,,LFY is expressed prematurely in the converted floral meristems of plants constitutively expressing AP1,,
AP1,GENE,SEP3,GENE,activation,transcriptional_activation,MEDIUM,AP1 forms floral meristem identity complex with SEP3 and activates its expression,,,,,,AP1 upregulates LFY in feed-forward regulatory loop; AP1 induces floral meristem identity (SEP3 partner),,
AP1,GENE,TFL1,GENE,repression,transcriptional_repression,HIGH,AP1 directly binds essential cis-regulatory elements in the TFL1 promoter to repress it,,,,,,TFL1 expression is downregulated in plants constitutively expressing AP1,,
AP2,GENE,AGL15,GENE,activation,transcriptional_activation,HIGH,AP2 directly binds and activates AGL15 (confirmed by inducible AP2-GR with cycloheximide),,,,,,AGL15: Direct binding and activation confirmed via inducible AP2-GR system with cycloheximide treatment,,
AP2,GENE,AP1,GENE,repression,transcriptional_repression,MEDIUM,AP2 binds AP1 regulatory regions (ChIP-seq direct targets),,,,,,"Other Direct Targets: SEP3, AP1, TOE3, ARF3/ETTIN, AGL44",,
