network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Lycopene Titer,N001,Glucose,ENVIRONMENT,G3P,METABOLITE,1,activation,"Glucose enters PTS then Pgi-driven EMP glycolysis, supplying G3P as a DXS substrate.",1,10.3390/molecules25143136
Lycopene Titer,N002,Glucose,ENVIRONMENT,Pyruvate,METABOLITE,1,activation,"Glucose glycolysis terminates in pyruvate, the second DXS substrate.",1,10.3390/molecules25143136
Lycopene Titer,N003,Glycerol,ENVIRONMENT,G3P,METABOLITE,1,activation,"Glycerol is phosphorylated then oxidised to DHAP/G3P, enriching G3P relative to pyruvate.",1,10.3390/molecules25143136
Lycopene Titer,N004,Xylose,ENVIRONMENT,G3P,METABOLITE,1,activation,Xylose feeds the pentose-phosphate shunt producing F6P and G3P for MEP.,1,10.3390/molecules25143136
Lycopene Titer,N005,Xylose,ENVIRONMENT,Pyruvate,METABOLITE,1,activation,Xylose catabolism terminates in pyruvate via EMP.,1,10.3390/molecules25143136
Lycopene Titer,N006,PGI,GENE,G3P,METABOLITE,1,activation,Pgi (phosphoglucose isomerase) routes G6P into the EMP branch feeding G3P.,1,10.1128/AEM.02155-15
Lycopene Titer,N007,PGI,GENE,Pyruvate,METABOLITE,1,activation,Pgi-gated EMP flux terminates in pyruvate.,1,10.1128/AEM.02155-15
Lycopene Titer,N008,ZWF,GENE,G3P,METABOLITE,-1,inhibition,"Zwf diverts G6P into the oxidative PPP, reducing G3P supply to DXS; Δzwf raises lycopene ~130%.",2,10.3390/biom13121747; 10.1007/s10529-013-1317-0
Lycopene Titer,N009,GAPA,GENE,G3P,METABOLITE,-1,inhibition,"GapA (GAPDH) drains G3P into 1,3-bisPG in lower glycolysis.",1,10.1038/75398
Lycopene Titer,N010,PYKA,GENE,Pyruvate,METABOLITE,1,activation,PykA (pyruvate kinase II) converts PEP to pyruvate.,1,10.3390/molecules25143136
Lycopene Titer,N011,PYKF,GENE,Pyruvate,METABOLITE,1,activation,PykF (major pyruvate kinase) converts PEP to pyruvate.,1,10.3390/molecules25143136
Lycopene Titer,N012,PPS,GENE,Pyruvate,METABOLITE,-1,inhibition,"Pps (PEP synthase) drains pyruvate back to PEP, reducing pyruvate pool for DXS.",1,10.3390/biom13121747
Lycopene Titer,N013,PPS,GENE,G3P,METABOLITE,1,activation,Pps-driven pyruvate→PEP redirection ultimately raises upstream G3P availability (Farmer 2000 flux rebalance).,2,10.1038/75398; 10.1038/75398
Lycopene Titer,N014,EDD,GENE,G3P,METABOLITE,1,activation,Edd (6-PG dehydratase) produces KDPG that Eda splits into G3P + pyruvate (Entner-Doudoroff).,1,10.1186/s12934-015-0301-x
Lycopene Titer,N015,EDD,GENE,Pyruvate,METABOLITE,1,activation,"ED pathway via Edd supplies pyruvate stoichiometrically with G3P, matching DXS 1:1 substrate need.",1,10.1186/s12934-015-0301-x
Lycopene Titer,N016,EDA,GENE,G3P,METABOLITE,1,activation,Eda (KDPG aldolase) splits KDPG into G3P + pyruvate.,1,10.1186/s12934-015-0301-x
Lycopene Titer,N017,EDA,GENE,Pyruvate,METABOLITE,1,activation,Eda-generated pyruvate matches the ED 1:1 stoichiometry required by DXS.,1,10.1186/s12934-015-0301-x
Lycopene Titer,N018,LDH,GENE,Pyruvate,METABOLITE,-1,inhibition,Ldh (lactate dehydrogenase) drains pyruvate to lactate under microaerobic growth.,1,10.3390/molecules25143136
Lycopene Titer,N019,ACEE,GENE,Acetyl_CoA,METABOLITE,1,activation,AceE (PDH E1) is the pyruvate→Acetyl-CoA entry point feeding TCA and MVA.,1,10.3390/molecules25143136
Lycopene Titer,N020,PTA,GENE,Acetyl_CoA,METABOLITE,-1,inhibition,Pta drains Acetyl-CoA via acetyl-P to overflow acetate.,1,10.3390/molecules25143136
Lycopene Titer,N021,PPC,GENE,Acetyl_CoA,METABOLITE,-1,inhibition,"Ppc (PEP carboxylase) diverts PEP toward OAA, reducing the upstream supply feeding AceE and Acetyl-CoA.",1,10.3390/molecules25143136
