source,source_type,target,target_type,effect,edge_type,confidence,mechanism,doi,paper_title,authors,year,journal,evidence_sentence,verification,species_validated
DA1,GENE,UBP15,GENE,inhibition,post-translational,HIGH,DA1 peptidase cleaves UBP15 after ubiquitylation,,,,,,DA1 physically associates with UBP15 in vitro and in vivo and modulates the stability of UBP15,,
DA1,GENE,TCP15,GENE,inhibition,post-translational,HIGH,DA1 peptidase cleaves TCP15,,,,,,"DA1, DAR1 and DAR2 peptidases cleave TCP14, TCP15 and TCP22, leading to their inactivation and destabilization",,
DA1,GENE,TCP22,GENE,inhibition,post-translational,HIGH,DA1 peptidase cleaves TCP22,,,,,,"DA1 peptidases cleave TCP14, TCP15 and TCP22",,
DA1,GENE,DA2,GENE,inhibition,post-translational,HIGH,DA1 peptidase cleaves DA2 (negative feedback on activating E3 ligase),,,,,,DA1 peptidase cleaves and destabilizes its activating E3 ligases DA2 and BB as part of negative feedback,,
DA1,GENE,EOD1,GENE,inhibition,post-translational,HIGH,DA1 peptidase cleaves EOD1/BB,,,,,,DA1 peptidase cleaves and destabilizes BIG BROTHER/EOD1 in a negative feedback loop,,
DA2,GENE,DA1,GENE,activation,post-translational,HIGH,DA2 E3 ligase ubiquitylates and activates DA1 peptidase,,,,,,DA2 and BB E3 ligases ubiquitylate DA1 to activate its peptidase function,,
EOD1,GENE,DA1,GENE,activation,post-translational,HIGH,EOD1/BB E3 ligase ubiquitylates and activates DA1 peptidase,,,,,,BB/EOD1 E3 ligase activates DA1 via monoubiquitylation,,
UBP12,GENE,DA1,GENE,inhibition,post-translational,HIGH,"UBP12 deubiquitinates DA1, reversing DA1 activation",,,,,,"UBP12 and UBP13 negatively regulate the activity of the ubiquitin-dependent peptidases DA1, DAR1 and DAR2",,
UBP13,GENE,DA1,GENE,inhibition,post-translational,HIGH,UBP13 deubiquitinates DA1,,,,,,UBP12 and UBP13 negatively regulate the activity of DA1,,
DA1,GENE,Integument_Growth,PROCESS,inhibition,post-translational,HIGH,DA1 restricts cell proliferation in maternal integuments,,,,,,DA1 acts maternally to affect seed growth by restricting cell proliferation in the integuments,,
DA2,GENE,Integument_Growth,PROCESS,inhibition,post-translational,HIGH,DA2 RING E3 ligase restricts integument cell proliferation,,,,,,DA2 acts synergistically with DA1 to restrict cell proliferation in maternal integuments,,
EOD1,GENE,Integument_Growth,PROCESS,inhibition,post-translational,HIGH,EOD1/BB RING E3 ligase restricts cell proliferation,,,,,,EOD1/BB and DA1 act synergistically to restrict cell proliferation,,
UBP15,GENE,Integument_Growth,PROCESS,activation,post-translational,HIGH,UBP15 deubiquitinates growth-promoting substrates; promotes cell proliferation,,,,,,UBP15 influences seed size by promoting cell proliferation in the maternal integuments,,
SOD7,GENE,Integument_Growth,PROCESS,repression,transcriptional,HIGH,NGATHA-like TF represses integument proliferation,,,,,,SOD7/NGAL2 regulates seed size by limiting cell proliferation in the integument,,
DPA4,GENE,Integument_Growth,PROCESS,repression,transcriptional,HIGH,NGATHA-like TF redundantly represses with SOD7,,,,,,DPA4 and SOD7 redundantly restrict seed size,,
Integument_Growth,PROCESS,Seed_Size,PHENOTYPE,activation,developmental,HIGH,integument cell number + elongation sets final seed coat volume,,,,,,maternal integument or seed coat sets upper limit to final seed size,,
KLUH,GENE,Integument_Growth,PROCESS,activation,non-cell-autonomous,HIGH,CYP78A5 generates mobile growth signal from inner integument that stimulates cell proliferation,,,,,,outer integuments were longer and consisted of more cells in pINO::KLU-expressing plants; klu-2 mutant ovules had shorter integuments with fewer cells,,
CYP78A6,GENE,Integument_Growth,PROCESS,activation,non-cell-autonomous,HIGH,EOD3/CYP78A6 promotes integument cell expansion,,,,,,EOD3/CYP78A6 is primarily involved in regulation of cell expansion phases during later stages of integument development,,
CYP78A9,GENE,Integument_Growth,PROCESS,activation,non-cell-autonomous,HIGH,CYP78A9 redundantly acts with CYP78A6/KLUH,,,,,,CYP78A9 and EOD3/CYP78A6 have an overlapping function in the control of seed size,,
TTG2,GENE,Integument_Growth,PROCESS,activation,transcriptional,HIGH,WRKY TF promotes integument cell elongation and tannin synthesis,,,,,,TTG2 gene acts maternally to promote cell expansion in integuments,,
AP2,GENE,Integument_Growth,PROCESS,repression,transcriptional,HIGH,AP2 restricts seed coat epidermal cell elongation,,,,,,average length of seed coat epidermal cells in ap2 and wild-type seeds at 8 DAP were 41 and 30 Î¼m respectively,,
AP2,GENE,Endosperm_Proliferation,PROCESS,repression,transcriptional,HIGH,"AP2 promotes early endosperm cellularization, limiting nuclear proliferation",,,,,,ap2 endosperm cellularization initiated at 6 DAP vs 5 DAP in WT; larger endosperm central vacuole in ap2,,
miR172,REGULATORY_RNA,AP2,GENE,repression,post-transcriptional,MEDIUM,microRNA-mediated translational repression,,,,,,miR172 represses AP2 translation; regulator of AP2 in seed contexts,,
ARF2,GENE,Integument_Growth,PROCESS,repression,transcriptional,HIGH,ARF2 restricts integument cell proliferation (maternal),,,,,,ARF2 negatively regulates auxin signaling and seed size via downregulation of cell division in the integument region,,
TPL,GENE,ARF2,GENE,activation,post-translational,HIGH,TPL co-repressor binds EAR/RLFGI motifs to potentiate ARF2 repressor activity,,,,,,EAR and RLFGI mutations disrupted interaction between TPL and ARF2 middle domain,,
