test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
phyB_ko,PHYB,knockout,0.0,,,1.0,9.996577,WT,1.0,9.996577,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,32,"{'claim': 'phyB mutant has long hypocotyl', 'evidence_sentence': 'Constitutively long hypocotyl phenotypes at 12-27C', 'source': {'doi': '10.3390/ijms221910304', 'title': 'PIF4 and PIF4-Interacting Proteins', 'authors': 'Xu Y, Zhu Z', 'year': 2021, 'journal': 'IJMS'}}"
phyA_ko,PHYA,knockout,0.0,,,1.0,0.990123,WT,1.0,0.990123,-0.0143,0.05,unchanged,increased,False,Hypocotyl_Length,1,easy,1,True,32,"{'claim': 'phyA mutant has elongated hypocotyl in far-red', 'evidence_sentence': 'Does not show promotion of hypocotyl growth caused by neighbors', 'source': {'doi': '10.1199/tab.0157', 'title': 'Shade Avoidance', 'authors': 'Casal JJ', 'year': 2012, 'journal': 'The Arabidopsis Book'}}"
cry1_ko,CRY1,knockout,0.0,,,1.0,9.996577,WT,1.0,9.996577,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,32,"{'claim': 'cry1 has long hypocotyl in blue light', 'evidence_sentence': 'Reduced CRY1 activity permits PIF4 accumulation', 'source': {'doi': '10.3390/ijms221910304', 'title': 'PIF4 and PIF4-Interacting Proteins', 'authors': 'Xu Y, Zhu Z', 'year': 2021, 'journal': 'IJMS'}}"
cop1_ko,COP1,knockout,0.0,,,1.0,2.16467,WT,1.0,2.16467,1.1141,0.05,increased,decreased,False,Hypocotyl_Length,1,easy,1,True,55,"{'claim': 'cop1 short hypocotyl in dark', 'evidence_sentence': 'Hypocotyl-growth response requires COP1', 'source': {'doi': '10.1199/tab.0157', 'title': 'Shade Avoidance', 'authors': 'Casal JJ', 'year': 2012, 'journal': 'The Arabidopsis Book'}}"
hy5_ko,HY5,knockout,0.0,,,1.0,9.996104,WT,1.0,9.996104,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,42,"{'claim': 'hy5 has long hypocotyl', 'evidence_sentence': 'hy5 mutant shows drastically elongated hypocotyls in light', 'source': {'doi': '10.3389/fpls.2021.800989', 'title': 'HY5: A Pivotal Regulator', 'authors': 'Xiao Y et al.', 'year': 2022, 'journal': 'Frontiers in Plant Science'}}"
pif4_ko,PIF4,knockout,0.0,,,1.0,1.004808,WT,1.0,1.004808,0.0069,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,51,"{'claim': 'pif4 has short hypocotyl', 'evidence_sentence': 'Display short hypocotyls', 'source': {'doi': '10.3390/ijms221910304', 'title': 'PIF4 and PIF4-Interacting Proteins', 'authors': 'Xu Y, Zhu Z', 'year': 2021, 'journal': 'IJMS'}}"
pif3_ko,PIF3,knockout,0.0,,,1.0,0.990123,WT,1.0,0.990123,-0.0143,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,32,"{'claim': 'pif3 has shorter hypocotyl', 'evidence_sentence': 'Loss-of-function of PIF3 confers a shorter hypocotyl phenotype', 'source': {'doi': '10.1199/tab.0103', 'title': 'GA Metabolism', 'authors': 'Sun TP', 'year': 2008, 'journal': 'The Arabidopsis Book'}}"
pif5_ko,PIF5,knockout,0.0,,,1.0,0.990459,WT,1.0,0.990459,-0.0138,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,20,"{'claim': 'pif5 reduced hypocotyl', 'evidence_sentence': 'Reduced hypocotyl growth to low R:FR', 'source': {'doi': '10.1199/tab.0157', 'title': 'Shade Avoidance', 'authors': 'Casal JJ', 'year': 2012, 'journal': 'The Arabidopsis Book'}}"
det1_ko,DET1,knockout,0.0,,,1.0,10.144949,WT,1.0,10.144949,3.3427,0.05,increased,decreased,False,Hypocotyl_Length,1,easy,1,True,51,"{'claim': 'det1 has short hypocotyl in dark', 'evidence_sentence': 'det1-1 mutants displayed constitutive photomorphogenic development', 'source': {'doi': '10.1105/tpc.114.130666', 'title': 'DET1 Represses Photomorphogenesis', 'authors': 'Dong J et al.', 'year': 2014, 'journal': 'The Plant Cell'}}"
elf3_ko,Evening_Complex,knockout,0.0,,,1.0,9.999797,WT,1.0,9.999797,3.3219,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,30,"{'claim': 'elf3 has long hypocotyl', 'evidence_sentence': 'Abnormal hypocotyl growth under diurnal cycles in elf3 mutants', 'source': {'doi': '10.1038/nature10182', 'title': 'ELF4-ELF3-LUX Complex', 'authors': 'Nusinow DA et al.', 'year': 2011, 'journal': 'Nature'}}"
hfr1_ko,HFR1,knockout,0.0,,,1.0,9.996577,WT,1.0,9.996577,3.3214,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,32,"{'claim': 'hfr1 has exaggerated shade avoidance', 'evidence_sentence': 'Exaggerated promotion of hypocotyl growth under low R:FR', 'source': {'doi': '10.1199/tab.0157', 'title': 'Shade Avoidance', 'authors': 'Casal JJ', 'year': 2012, 'journal': 'The Arabidopsis Book'}}"
della_quintuple_ko,DELLA,knockout,0.0,,,1.0,9.900927,WT,1.0,9.900927,3.3076,0.05,increased,increased,True,Hypocotyl_Length,1,easy,1,True,44,"{'claim': 'DELLA KO causes long hypocotyl', 'evidence_sentence': 'Removing both RGA and GAI functions completely rescues vegetative growth', 'source': {'doi': '10.1199/tab.0103', 'title': 'GA Metabolism', 'authors': 'Sun TP', 'year': 2008, 'journal': 'The Arabidopsis Book'}}"
ga1_ko,GA1,knockout,0.0,,,1.0,0.990641,WT,1.0,0.990641,-0.0136,0.05,unchanged,decreased,False,Hypocotyl_Length,1,easy,1,True,11,"{'claim': 'ga1-3 severe dwarf', 'evidence_sentence': 'Severe dwarfs with much reduced hypocotyl lengths', 'source': {'doi': '10.1199/tab.0103', 'title': 'GA Metabolism', 'authors': 'Sun TP', 'year': 2008, 'journal': 'The Arabidopsis Book'}}"
